"","cases","Country","Population","Popchange","Density","Migrant","Fert","MedAge","Urban","WorldShare","log_cases","log_casespop"
"1",2081,"Afghanistan",38928346,139,60,-62920,36,4,13,41,7.64060382639363,0.437174678903398
"2",3092.1683,"Albania",2877797,4,105,-14000,6,22,47,5,8.03662783901514,0.5403670254739
"3",7833.6596,"Algeria",43851044,125,18,-10000,21,15,57,43,8.96618506166059,0.509549191161684
"4",89.8739,"Angola",32866272,170,26,6413,45,3,51,35,4.49840757674517,0.259904010674881
"5",30.2036,"Antigua and Barbuda",97929,73,223,0,10,20,14,1,3.40796112257445,0.296550793082849
"6",9917.3833,"Argentina",45195774,79,17,4800,13,18,75,44,9.20204438524086,0.522056959737906
"7",6114.0382,"Armenia",2963243,38,104,-4998,8,21,47,5,8.71834275038677,0.585053199773242
"8",52585.8623,"Australia",25499884,94,3,158246,8,24,69,29,10.8702025850321,0.637392108067523
"9",118199.5501,"Austria",9006398,57,109,65000,5,29,41,13,11.6801295776863,0.729395143572474
"10",3177.5769,"Azerbaijan",10139177,77,123,1200,11,18,40,14,8.06387420418697,0.499870784710497
"11",90.6037,"Bahamas",393244,81,39,1000,8,18,69,2,4.50649505106715,0.349823795730258
"12",9866.55,"Bahrain",1701575,173,2239,47800,10,18,72,3,9.19690552724981,0.641030456260706
"13",807.3563,"Bangladesh",164689383,84,1265,-369501,11,14,25,69,6.6937650826043,0.353801089051343
"14",326.4568,"Barbados",287375,33,668,-79,6,26,19,1,5.78829762755814,0.460538465506058
"15",2312.9534,"Belarus",9449323,1,47,8730,7,26,62,13,7.74628051503324,0.482290126448533
"16",135121,"Belgium",11589623,52,383,48000,7,28,80,16,11.8139259522832,0.726312643077317
"17",112.3158,"Benin",12123200,156,108,-2000,39,5,32,17,4.72131454641597,0.289462399888441
"18",150.4336,"Bhutan",771608,91,20,320,10,14,30,2,5.01352179082004,0.369831514940005
"19",988.4113,"Bolivia",11673021,106,11,-9504,18,12,53,16,6.89609890666748,0.423780958940477
"20",4414.6791,"Bosnia and Herzegovina",3280819,18,64,-21585,3,29,36,5,8.39269042636474,0.559378308393635
"21",61016.0747,"Brazil",212559417,67,25,21200,7,19,71,71,11.0188926281124,0.574656926682186
"22",2200.7277,"Brunei",437479,81,83,0,8,18,63,2,7.69654335738044,0.592553033993163
"23",4965.4858,"Bulgaria",6948445,20,64,-4800,6,31,60,10,8.51026641660717,0.540196207135634
"24",2771.4384,"Burkina Faso",20903273,160,76,-25000,41,4,19,27,7.92712174238157,0.470301154106362
"25",43.9582,"Cabo Verde",555987,90,138,-1342,13,14,52,2,3.78323918238227,0.285991543075017
"26",1696.9167,"Cambodia",16718965,107,95,-30000,15,12,12,21,7.43656817740599,0.447122650055929
"27",2126.5021,"Cameroon",26545863,151,56,-4800,36,5,40,30,7.66223370223141,0.448231038312611
"28",84304.3711,"Canada",37742154,75,4,242032,5,27,64,39,11.3421889943657,0.650120465923559
"29",75.9394,"Central African Republic",4829767,123,8,-40000,38,4,27,7,4.32993565379799,0.281341701097978
"30",76.7322,"Chad",16425864,165,13,2000,46,3,11,21,4.34032143774518,0.261239037797154
"31",27763.457,"Chile",19116201,74,26,111708,7,21,68,25,10.2314759385676,0.610249755894711
"32",4437783.4197,"China",1439323776,48,153,-348399,7,24,45,68,15.3056655799544,0.725819071988083
"33",9550.7027,"Colombia",50882891,88,46,204796,8,17,63,47,9.16437001191965,0.516446928760238
"34",4090.2466,"Costa Rica",5094118,78,100,4200,8,19,63,8,8.31636054061781,0.538498931786123
"35",9490.2,"Croatia",4105267,18,73,-8001,4,30,42,6,9.1580149661975,0.601401790640954
"36",1654,"Cuba",11326616,2,106,-14400,6,28,61,16,7.41095187558364,0.456264502120113
"37",3194.4299,"Cyprus",1207359,68,131,5000,3,23,51,3,8.06916391583543,0.576206447858064
"38",43495.9857,"Denmark",5792202,46,137,15200,8,28,71,8,10.6804239300598,0.685872597902905
"39",289.5903,"Djibouti",988000,109,43,900,18,13,62,2,5.66846716547547,0.410656183990643
"40",10221.8373,"Dominican Republic",10847910,84,225,-30000,14,14,68,15,9.23228162255119,0.569912115511955
"41",25669.8166,"Ecuador",17643054,112,71,36400,14,14,47,23,10.153071129313,0.608483803493829
"42",9815,"Egypt",102334404,129,103,-38033,23,11,27,61,9.19166710671056,0.49836198591063
"43",186.1035,"El Salvador",6486205,55,313,-40539,11,14,57,9,5.22630297056431,0.333199889812705
"44",186,"Equatorial Guinea",1402985,172,50,16000,36,8,57,3,5.2257466737132,0.369203410797786
"45",163.7823,"Eritrea",3546421,107,35,-39858,31,5,47,6,5.09853810697216,0.338066849106069
"46",9976.0136,"Estonia",1326535,31,31,3911,6,28,52,3,9.2079388506308,0.653134207187973
"47",133.4659,"Eswatini",1160164,85,67,-8353,20,7,18,2,4.89384601450071,0.350459811306607
"48",336.4897,"Ethiopia",114963588,149,115,30000,33,5,10,63,5.81856753940383,0.313498277772266
"49",244.065,"Fiji",896445,68,49,-6202,18,14,43,2,5.49743458325939,0.401091309302976
"50",18024,"Finland",5540720,34,18,14000,5,29,69,8,9.79945948211208,0.631098005147886
"51",593808.0351,"France",65273511,40,119,36527,9,28,65,54,13.2943113728807,0.738815150073819
"52",157.6094,"Gabon",2225734,144,9,3260,30,9,70,4,5.06011982031516,0.346213686248273
"53",31.6899,"Gambia",2416668,163,239,-3087,42,4,43,4,3.45599801812827,0.235135492142797
"54",1709.3569,"Georgia",3989167,6,57,-10000,11,24,42,6,7.44387249688884,0.489757678255466
"55",842592,"Germany",83783942,45,240,543822,6,32,60,57,13.64423813406,0.747885533127488
"56",1748.9768,"Ghana",31072940,135,137,-10000,29,8,41,34,7.46678621020793,0.432810806856893
"57",18002.8243,"Greece",10423054,16,81,-16000,3,32,68,14,9.79828393012547,0.606347062143429
"58",378.7692,"Guatemala",17915568,127,167,-9215,19,9,36,23,5.93692704860804,0.355479482918194
"59",249.3034,"Guinea",13132795,159,53,-4000,37,4,25,18,5.51867062862344,0.336696817239149
"60",143.25,"Guyana",786552,54,4,-6000,15,13,15,2,4.96459135559485,0.365704597557008
"61",73.7148,"Haiti",11402528,99,414,-35000,20,10,41,16,4.3002035931461,0.264638569920163
"62",1347.7581,"Honduras",9904607,117,89,-6800,15,10,41,14,7.20619782433041,0.44735345315209
"63",5264.5033,"Hungary",9660351,9,107,6000,5,29,56,13,8.56874208013677,0.532764664492217
"64",15183.9792,"Iceland",341243,63,3,380,8,23,76,1,9.62799615098576,0.755708914276765
"65",17524,"India",1380004385,82,464,-532687,12,14,21,67,9.77132664893379,0.464298549648795
"66",17537.9213,"Indonesia",273523615,87,151,-98955,13,16,40,73,9.77212074693044,0.503020115999205
